state,year,ratio_young_adults
Alabama,2000,0.13
Alabama,2001,0.13
Alabama,2002,0.13
Alabama,2003,0.13
Alabama,2004,0.13
Alabama,2005,0.13
Alabama,2006,0.13
Alabama,2007,0.13
Alabama,2008,0.13
Alabama,2009,0.13
Alabama,2010,0.13
Alabama,2011,0.13
Alabama,2012,0.13
Alabama,2013,0.13
Alabama,2014,0.13
Alabama,2015,0.13
Alabama,2016,0.12
Alabama,2017,0.12
Alabama,2018,0.12
Alabama,2019,0.12
Alabama,2020,0.12
Alabama,2021,0.12
Alabama,2022,0.12
Alabama,2023,0.12
Alabama,2024,0.12
Alaska,2000,0.13
Alaska,2001,0.14
Alaska,2002,0.14
Alaska,2003,0.15
Alaska,2004,0.15
Alaska,2005,0.15
Alaska,2006,0.15
Alaska,2007,0.15
Alaska,2008,0.15
Alaska,2009,0.14
Alaska,2010,0.14
Alaska,2011,0.14
Alaska,2012,0.14
Alaska,2013,0.15
Alaska,2014,0.14
Alaska,2015,0.14
Alaska,2016,0.13
Alaska,2017,0.13
Alaska,2018,0.13
Alaska,2019,0.12
Alaska,2020,0.12
Alaska,2021,0.12
Alaska,2022,0.12
Alaska,2023,0.12
Alaska,2024,0.12
Arizona,2000,0.14
Arizona,2001,0.14
Arizona,2002,0.14
Arizona,2003,0.14
Arizona,2004,0.14
Arizona,2005,0.13
Arizona,2006,0.13
Arizona,2007,0.13
Arizona,2008,0.13
Arizona,2009,0.13
Arizona,2010,0.13
Arizona,2011,0.13
Arizona,2012,0.13
Arizona,2013,0.13
Arizona,2014,0.13
Arizona,2015,0.13
Arizona,2016,0.13
Arizona,2017,0.13
Arizona,2018,0.12
Arizona,2019,0.12
Arizona,2020,0.12
Arizona,2021,0.12
Arizona,2022,0.12
Arizona,2023,0.12
Arizona,2024,0.12
Arkansas,2000,0.13
Arkansas,2001,0.13
Arkansas,2002,0.13
Arkansas,2003,0.13
Arkansas,2004,0.13
Arkansas,2005,0.13
Arkansas,2006,0.13
Arkansas,2007,0.13
Arkansas,2008,0.13
Arkansas,2009,0.13
Arkansas,2010,0.13
Arkansas,2011,0.13
Arkansas,2012,0.13
Arkansas,2013,0.13
Arkansas,2014,0.13
Arkansas,2015,0.13
Arkansas,2016,0.12
Arkansas,2017,0.12
Arkansas,2018,0.12
Arkansas,2019,0.12
Arkansas,2020,0.12
Arkansas,2021,0.12
Arkansas,2022,0.12
Arkansas,2023,0.12
Arkansas,2024,0.12
California,2000,0.14
California,2001,0.14
California,2002,0.14
California,2003,0.14
California,2004,0.14
California,2005,0.14
California,2006,0.14
California,2007,0.14
California,2008,0.14
California,2009,0.14
California,2010,0.14
California,2011,0.14
California,2012,0.14
California,2013,0.14
California,2014,0.14
California,2015,0.13
California,2016,0.13
California,2017,0.12
California,2018,0.12
California,2019,0.12
California,2020,0.12
